編號,科目,主題,七大原則,繁體中文,英文全名,英文縮寫,英文發音,核心目標,核心原理,定義,用途,應用場景,氣象與防災,農業漁業與畜牧,交通與物流,生產與製造（工業4.0）,科技金融與醫學,客服零售與生活,消防與公共安全
451,中科一,AI 應用,永續發展與福祉,工業級部署,Industrial Deployment,-,FALSE,實現商業產線落地,高可靠性系統整合,將 AI 模型轉化為具備高可用性、穩定性且符合企業資安規範的正式服務。,實現 AI 的商業價值。,在晶圓廠產線上部署 AI 瑕疵檢測系統。,,,,,,,
452,"中科一

中科三","自然語言處理

深度學習架構",透明與可解釋,遮罩自注意力機制,Masked Self-Attention,-,FALSE,確保序列生成的因果性,在計算注意力權重時，利用遮罩矩陣屏蔽未來資訊。,Transformer 解碼器中的核心組件，限制模型僅能關注當前位置之前的訊息 。,防止模型在訓練過程中「偷看」答案，確保推論時的自迴歸特性。,生成式 AI（如 ChatGPT）在逐字產生回覆時，確保邏輯連貫且符合語境。,氣象預報：多站氣象數據關聯建模；長序列氣溫趨勢預測,農業報告語意摘要；農業政策法規文件自動解析,智慧物流：運輸訂單文字意圖理解；交通事故報告自動分析,製程優化：製造設備日誌語意分析；異常描述文字分類,金融科技：金融報告語意理解；智慧醫療：病歷/診斷報告文字摘要,智能客服：用戶意圖理解；個人化推薦：評論語意分析,公共安全：社群媒體災情文字解析；緊急求救訊號意圖識別
453,中科一,多模態人工智慧,永續發展與福祉,視覺語言模型,Vision-Language Model,VLM,FALSE,實現跨模態的語義對齊,整合電腦視覺 (CV) 與自然語言處理 (NLP) 的聯合嵌入空間。,一種能同時處理並理解圖像與文本資訊的人工智慧模型 。,讓機器具備「看圖說故事」或根據指令修改圖像的能力。,醫療影像自動報告生成，或視障人士的智慧環境描述導覽。,,,,,智慧醫療：醫學影像輔助判讀（X光/MRI）、新藥開發篩選、個人化健康管家（核心場景）,智慧生活：健康管家APP個人化衛教建議,消防：救災傷患傷勢快速評估輔助
454,中科三,深度學習原理,永續發展與福祉,分層語言模型,Hierarchical Language Model,HLM,FALSE,處理長文本的結構依賴,透過多層級（如字、詞、句、段落）的結構化表徵進行建模。,將文本分解為不同層級的抽象表示，以捕捉宏觀與微觀語義。,一種具備層次化處理能力的語言模型架構 。,提升長篇文檔（如法律契約、長篇小說）的摘要準確性與邏輯性。,,,,,,,
455,中科一,自然語言處理,透明與可解釋,人類語言模型,Human Language Model,-,FALSE,模擬人類語言認知過程,基於大規模語料庫學習語言的機率分佈與社會文化邏輯。,廣義指稱旨在理解與生成人類自然語言的模型系統 。,作為人機協作的基礎介面，提供具備常識感與情緒共鳴的互動。,智慧客服系統、心理諮商輔助對話機器人。,,智慧耕作：農民用藥/種植問題語音客服機器人,智慧交通：大眾運輸24H AI客服（班次/票務查詢）,製程優化：設備操作問題AI即時回覆,金融科技：24H智能理財/帳務客服；智慧醫療：預約/衛教問答機器人,智能客服：24H語音機器人、生成式AI郵件回覆（核心場景）,公共安全：非緊急情況AI問答分流（釋放人工接線員）
456,"初科二

中科一","生成式AI應用

提示工程",透明與可解釋,基於提示的,Prompt-based,-,FALSE,引導模型輸出特定結果,透過設計特定的輸入模板，觸發預訓練模型中的相關知識。,一種不改動模型參數，僅透過輸入指令來調整行為的方法 。,降低模型微調成本，快速適應不同的下游任務。,撰寫廣告文案時，指定口吻為「專業」或「幽默」。,,,,,,,
457,中科一,生成式AI技術,永續發展與福祉,提示學習,Prompt-based Learning,-,FALSE,轉化下游任務為預訓練任務,將分類或生成任務重構為填空題形式，利用模型的補全能力。,"現代 NLP 的新範式，強調「Pre-train, Prompt, and Predict」。",解決少樣本 (Few-shot) 情境下的模型效能挑戰。,在少量標註資料下，快速開發特定產業的意圖識別模型。,,,,,,,
458,"初科二

中科一","資料處理與分析

NLP任務",透明與可解釋,文本分類,Text Classification,-,FALSE,自動化標籤歸納,利用特徵提取技術將文本映射至預定義的類別。,將非結構化文字數據分配到一個或多個特定類別的過程 。,實現資訊過濾、情緒分析與自動化派案。,電商平台的產品評論自動分類（正面/負面/中性）。,,,,,,,
459,"初科一

初科二","AI 基礎概念

生成式AI工具",永續發展與福祉,對話機器人,Chatbot,-,FALSE,模擬真人對話互動,結合 NLP、NLU 與 NLG 技術的對談系統架構。,能夠透過文字或語音與人類進行自然語言互動的軟體程式 。,提升企業服務效率，提供 24/7 的即時支援。,銀行 App 的智慧理財顧問，回答帳戶餘額或匯率查詢。,,,,,,,
460,中科一,自然語言處理,永續發展與福祉,文本生成與摘要,Text Generation & Summarization,-,FALSE,資訊高度濃縮與產出,提取關鍵語義並重新組合為簡練、連貫的短文。,利用生成模型產出新文本或將長篇文章轉化為精簡版本的技術 。,幫助使用者快速掌握大量資訊的核心重點。,新聞 App 的每日要聞自動摘要功能。,氣象預報：數值預報結果自動轉換為人讀氣象公報,智慧耕作：農業異常感測自動生成告警簡訊,智慧物流：配送狀態自動生成通知訊息,品質檢測：瑕疵報告自動文字生成,智慧醫療：影像判讀結果自動生成醫師報告草稿；金融：理財建議書自動產出,智能客服：AI郵件/聊天訊息自動回覆生成,公共安全：災情通報自動生成廣播稿
461,"初科一

中科三","AI 基礎概論

機器學習原理",問責,機器學習,Machine Learning,ML,FALSE,數據驅動的自主優化,透過演算法從歷史數據中學習規律並建立預測模型。,AI 的分支，強調不需顯式編程，而是透過經驗改進表現 。,解決傳統規則引擎難以處理的複雜預測問題。,信用卡交易詐欺偵測、工廠設備的預測性維修。,,,,,金融科技：信用卡盜刷風險即時偵測、異常交易攔截（核心場景）,智慧零售：電商平台異常退款/刷卡詐欺偵測,
462,"中科二

中科三","大數據隱私保護

機器學習治理",隱私保護,假名化,Pseudonymization,-,FALSE,保護資料主體識別性,以人工識別碼替換敏感欄位（如姓名），且保留還原可能性。,一種去識別化技術，使資料無法在不使用額外資訊下指向特定人 。,在符合合規要求的前提下，允許進行跨部門數據研究。,醫療大數據研究中，以隨機 ID 取代病患身分證字號。,,,,,智慧醫療：醫學影像輔助判讀（X光/MRI）、新藥開發篩選、個人化健康管家（核心場景）,智慧生活：健康管家APP個人化衛教建議,消防：救災傷患傷勢快速評估輔助
463,"中科二

中科三","大數據隱私保護

機器學習治理",隱私保護,資料泛化,Data Generalization,-,FALSE,降低數據精確度,將具體數值轉化為範圍區間（如年齡改為年齡層）。,隱私保護核心技術，透過降低資料粒度來減少識別風險 。,達成 K-anonymity (K-匿名性)，防止個體身分洩露。,公布薪資統計時，僅顯示「5-7萬」區間而非精確金額。,,,,,,,
464,"中科二

中科三","大數據隱私保護

機器學習治理",隱私保護,遮蔽,Masking,-,FALSE,阻斷敏感資訊顯示,將資料的部分內容以符號（如 *）取代。,透過特定規則隱藏敏感數據，確保非授權者無法讀取 。,確保展示介面（UI）符合個資保護原則。,客服系統顯示會員手機號碼為「0912***456」。,,,,,,,
465,中科三,演算法偏見,公平性,資料偏見,Data Bias,-,FALSE,識別並消除源頭歧視,訓練數據未能真實反映現實世界，或包含社會刻板印象。,指訓練模型所使用的資料集中，特定群體被過度或不足代表的情形 。,避免模型學習到不公正的規律，造成輸出不平等。,貸款審核模型因歷史數據偏見，對特定區域族群給予較低評分。,,,,,,,
466,"中科一

中科三","AI 風險管理

機器學習治理",公平性,模型偏見,Model Bias,-,FALSE,修正決策偏差,演算法結構或權重更新過程產生的系統性誤差。,模型在預測時產生的偏誤，可能源於模型假設錯誤或訓練不足 。,確保 AI 決策的公正性與客體性。,人臉辨識系統對不同膚色的辨識準確率存在顯著差異。,,畜牧管理：牛隻個體臉部識別追蹤（乳牛個體健康管理）,自駕與輔助：疲勞駕駛臉部特徵偵測（眼皮閉合角度）,製程優化：廠區人員身份核驗，防止未授權進入,金融科技：ATM/網銀人臉身份核實；健康管家：情緒健康狀態辨識,智慧零售：販賣機顧客年齡/性別分析精準推薦,公共安全：協尋失蹤/通緝人員特徵比對；刑事案件追查
467,中科三,機器學習治理,公平性,詞嵌入關聯測試,Word Embedding Association Test,WEAT,FALSE,量化語言模型偏見,計算詞向量空間中，特定概念與屬性詞之間的距離。,一種衡量文本表示模型是否包含人類偏見（如性別偏見）的指標 。,作為 AI 倫理審核的量化工具，確保模型符合公平性原則。,偵測模型是否將「工程師」與「男性」連結強度顯著高於「女性」。,,,,,,,
468,"初科一

中科一","AI 概念

NLP進階應用",透明與可解釋,常識推理,Common Sense Reasoning,-,FALSE,賦予模型類人邏輯,利用外部知識庫或大規模預訓練獲得對現實世界的基礎理解。,使 AI 具備處理日常生活邏輯、因果關係與物理常識的能力 。,提升模型在模糊指令下的判斷正確性。,AI 助理理解「把水杯放進冰箱」是為了降溫而非儲存玻璃。,,,,,,,
469,"初科二

中科一","生成式AI風險

AI 導入規劃",透明與可解釋,模型幻覺,Model Hallucination,-,FALSE,提升輸出事實準確率,模型在缺乏資訊或機率預測誤導下產出虛假事實。,生成式模型產出看似合理但實際上不正確或不存在之資訊的現象 。,識別 AI 輸出的潛在風險，建立人工複核機制。,律師使用 AI 寫訴狀時，AI 編造了不存在的法律判例。,,,,,,,
470,"中科二

中科三","大數據隱私保護

機器學習治理","隱私保護

安全穩定",隨機化,Randomization,-,FALSE,消除數據關聯性與干擾攻擊,在原始數據中加入隨機噪聲（Noise）或進行隨機置換（Permutation）。,一種隱私保護技術，透過改變數據的確切數值，使攻擊者無法回推特定個體的真實資訊。,用於實現差分隱私（Differential Privacy），平衡數據可用性與隱私。,在收集使用者瀏覽習慣時，隨機修改部分選項，確保廠商無法確知單一使用者的特定偏好。,,,,,,,
471,"中科二

中科三","分散式計算

聯邦學習架構","隱私保護

永續發展與福祉",聚合,Aggregation,-,FALSE,提取群體特徵並隱藏個體數據,將來自多個來源的數據或模型參數進行統計彙整（如求和、平均）。,將多個分散的數據點組合為單一彙整值的過程，使個體資訊消失在群體統計中。,減少數據傳輸量，並在不移動原始資料的情況下進行全域模型更新。,聯邦學習 (Federated Learning)：各醫院僅上傳模型參數，由中心伺服器「聚合」更新後的權重，保護病患個資。,環境監控：跨縣市空氣品質站數據聯合訓練（各站數據不離站）,智慧耕作：跨農場病害模型協同訓練（農場資料不外傳）,自駕與輔助：跨車廠自駕數據聯合訓練（車輛感測資料隱私保護）,品質檢測：跨廠區瑕疵模型協同訓練（各廠製程機密保護）,金融科技：跨銀行聯合風控建模（客戶資料不離行）；智慧醫療：跨醫院疾病模型訓練,智慧零售：跨門市顧客行為聯合分析,公共安全：跨地方政府監控數據聯合異常偵測（資料在地保存）
472,中科二,大數據隱私保護,隱私保護,隨機化聚合,Randomization Aggregation,-,FALSE,統計干擾與防禦,在數據中加入隨機噪聲，並以群體統計值輸出。,結合差分隱私 (Differential Privacy) 的概念，保護個別數據點 。,在不暴露個人隱私的情況下，獲取群體趨勢分析。,科技大廠收集使用者 App 使用時長統計，同時保護個體隱私。,,,,,,,
473,中科一,電腦視覺,透明可解釋,手動特徵提取,Handcrafted Features,-,FALSE,物理特徵提取,傳統演算法設計,研發人員根據領域知識設計的特徵（如顏色、形狀）。,提供明確物理意義的特徵。,工業零件尺寸量測。,,,,,,,
474,中科一,多模態,永續發展,多模態學習,Multimodal Learning,-,FALSE,跨媒介資訊整合,特徵融合與對齊,同時處理文字、影像、聲音等多種感官數據的技術。,提升模型對複雜環境的理解。,視障人士智慧影像導覽。,,,,,,,
